fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,modified,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
674014,David Brooks,MID,Bournemouth,48.4,1,2,204,3,2.02,4.6,2.58,15.03,12,2,941,0,0,0,0,0,0,9,52,3,111317.0,David,Brooks,64.0,62.0,86.0,MID,MID,MID,5.0,111317.0,12.0,18.0,9.0,6.0,5.0,2.0,50.0,14.0,8.0,0.0,0.0,0.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,204.0,3,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.793,0.345,10,1.828,0.345,1,0.0,1,False
675088,Rodrigo 'Rodri' Hernandez,MID,Man City,2.1,0,0,21,0,0.09,0.09,0.0,0.33,1,0,72,0,0,0,0,0,0,1,3,0,220566.0,Rodrigo,Hernandez,365.0,360.0,421.0,MID,MID,MID,6.5,220566.0,0.0,2.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0,False
682548,Ola Aina,DEF,Nott'm Forest,120.3,1,15,483,12,2.25,2.88,0.63,40.59,39,2,2996,0,0,0,0,0,0,35,128,5,159506.0,Olu,Aina,604.0,422.0,507.0,DEF,DEF,DEF,5.0,159506.0,2.0,35.0,106.0,42.0,33.0,12.0,190.0,55.0,13.0,0.0,0.0,0.0,35,0,0,0,8,0,0,0,0,0,0.0,0.0,483.0,19,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.657,0.714,28,4.0,0.8,12,0.0,4,False
683402,Tosin Adarabioyo,DEF,Chelsea,48.3,1,7,305,7,0.23,1.16,0.93,19.62,14,1,1403,0,0,0,0,0,0,15,71,4,109646.0,Tosin,Adarabioyo,286.0,187.0,232.0,DEF,DEF,DEF,4.5,109646.0,2.0,9.0,79.0,13.0,11.0,7.0,41.0,17.0,4.0,0.0,0.0,0.0,22,0,0,0,4,0,0,0,0,0,0.0,0.0,305.0,6,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.227,0.682,16,3.364,0.727,3,0.0,-1,False
688273,Vitaly Janelt,MID,Brentford,66.8,3,2,384,6,2.38,3.21,0.83,37.37,38,1,2251,0,2,0,0,0,0,27,73,3,204580.0,Vitaly,Janelt,105.0,94.0,125.0,MID,MID,MID,5.0,204580.0,4.0,15.0,48.0,22.0,27.0,9.0,107.0,38.0,16.0,0.0,0.0,0.0,32,0,0,0,8,0,0,0,0,0,0.0,0.0,384.0,1,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.281,0.438,16,2.5,0.5,7,0.0,-1,False
688278,Pervis Estupiñán,DEF,Brighton,38.9,1,7,313,3,2.43,3.52,1.09,39.85,44,1,2399,0,0,0,0,0,0,26,63,5,204214.0,Pervis,Estupiñán,131.0,122.0,147.0,DEF,DEF,DEF,4.5,204214.0,9.0,20.0,57.0,43.0,37.0,5.0,147.0,65.0,22.0,0.0,0.0,0.0,30,0,0,0,10,0,0,0,0,0,0.0,0.0,313.0,7,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.1,0.467,16,2.433,0.533,10,0.0,0,False
690107,Alexander Isak,FWD,Newcastle,178.3,6,36,848,12,3.59,23.92,20.33,36.85,41,23,2758,0,0,0,0,0,0,34,211,1,219168.0,Alexander,Isak,415.0,401.0,499.0,FWD,FWD,FWD,10.5,219168.0,46.0,14.0,17.0,5.0,3.0,2.0,55.0,12.0,7.0,0.0,0.0,4.0,34,0,0,0,0,0,0,0,0,0,0.0,-48.0,800.0,39,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6.206,0.588,20,6.294,0.588,3,-48.0,3,False
690149,Axel Tuanzebe,DEF,Ipswich,10.9,1,0,80,1,0.26,0.47,0.21,32.01,38,0,1710,0,1,0,0,1,0,20,27,3,180804.0,Axel,Tuanzebe,0.0,282.0,198.0,0,DEF,DEF,4.0,180804.0,0.0,12.0,54.0,19.0,23.0,10.0,49.0,31.0,12.0,0.0,0.0,0.0,22,0,0,0,6,0,0,0,0,0,0.0,0.0,80.0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.227,0.273,8,1.5,0.364,6,0.0,0,False
693678,Wout Faes,DEF,Leicester,41.3,0,2,241,3,0.4,1.92,1.52,58.54,63,1,2812,0,0,0,0,0,0,30,55,4,218218.0,Wout,Faes,0.0,291.0,0.0,0,DEF,DEF,0.0,218218.0,1.0,11.0,184.0,26.0,26.0,35.0,90.0,42.0,16.0,0.0,0.0,0.0,34,0,0,0,34,0,0,0,0,0,0.0,0.0,241.0,4,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.618,0.0,0,2.676,0.0,36,0.0,2,False
696365,Marcus Rashford,MID,Man Utd Aston Villa,94.2,4,9,333,7,3.43,8.1,4.67,21.68,15,6,1414,0,0,0,0,0,0,16,95,2,176297.0,Marcus,Rashford,396.0,385.0,451.0,MID,MID,MID,7.0,176297.0,16.0,10.0,9.0,11.0,5.0,0.0,38.0,17.0,6.0,0.0,0.0,1.0,25,0,0,0,0,0,0,0,0,0,0.0,-6.0,327.0,7,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.8,0.52,13,3.72,0.52,-2,-6.0,-2,False
