code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,fotmob_id,25_cost
146941,Aymeric,Laporte,357,,,DEF,,,411617,
147611,Paul,Onuachu,,470,,,FWD,,412357,
148225,Anthony,Martial,390,,,FWD,,,413557,
149065,José,Malheiro de Sá,569,554,628,GK,GK,GK,416175,4.5
149484,Tyrone,Mings,51,49,40,DEF,DEF,DEF,419664,4.5
149519,Maxwel,Cornet,527,515,617,MID,MID,MID,426880,5.0
149929,Wes,Burns,,264,,,MID,,421768,
151086,Mario,Lemina,565,557,,MID,MID,,421786,
151589,Leander,Dendoncker,40,33,61,MID,MID,MID,424129,4.5
152551,Jefferson,Lerma Solís,231,206,272,MID,MID,MID,466672,5.0
152760,Divock,Origi,714,,,FWD,,,426202,
153133,Alex,Iwobi,256,247,324,MID,MID,MID,604785,6.5
153256,Mohamed,Elneny,3,,,MID,,,339992,
153366,Harrison,Reed,282,254,336,MID,MID,MID,502420,4.5
153682,Harry,Wilson,288,259,329,MID,MID,MID,494417,5.5
154048,Stephy,Mavididi,,298,,,MID,,759580,
154296,João,Palhinha Gonçalves,280,,673,MID,,MID,524434,5.5
154561,David,Raya Martin,113,15,1,GK,GK,GK,562727,5.5
154566,Dominic,Solanke,85,82,596,FWD,FWD,FWD,591734,7.5
155197,Max,Lowe,484,,,DEF,,,492589,
155405,Kalvin,Phillips,364,359,429,MID,MID,MID,609755,5.0
155408,Lewis,Cook,66,64,88,MID,MID,MID,562724,5.0
155511,Adam,Armstrong,,453,,,FWD,,519835,
156658,Reece,Burke,318,,,DEF,,,570760,
156685,Joe,Rothwell,81,,,MID,,,613182,
156689,Andreas,Hoelgebaum Pereira,267,240,327,MID,MID,MID,575779,5.5
156700,Carlton,Morris,326,,,FWD,,,562725,
157668,Harry,Winks,,309,,,MID,,528453,
158499,Ryan,Christie,65,63,87,MID,MID,MID,439369,5.0
158534,Kyle,Walker-Peters,,476,659,,DEF,DEF,734042,4.5
158983,Wataru,Endo,668,320,392,MID,MID,MID,202643,5.0
159506,Olu,Aina,604,422,507,DEF,DEF,DEF,682548,5.0
159533,Adama,Traoré,662,239,326,MID,MID,MID,493647,5.5
164555,Vladimír,Coufal,528,516,,DEF,DEF,,307317,
165153,Timo,Werner,776,509,,FWD,MID,,450980,
165183,Amari'i,Bell,316,,,DEF,,,471271,
165659,Diego Carlos,Santos Silva,41,35,,DEF,DEF,,570434,
165809,Bernardo,Veiga de Carvalho e Silva,344,342,416,MID,MID,MID,488139,6.5
166477,Timothy,Castagne,688,244,319,DEF,DEF,DEF,465750,4.5
166989,Youri,Tielemans,58,57,48,MID,MID,MID,465960,6.0
167074,Kenny,Tete,285,257,322,DEF,DEF,DEF,469804,4.5
167191,Marcus,Myers-Harness,,271,,,MID,,,
167199,Thomas,Partey,15,20,,MID,MID,,434325,
167878,Ben,Osborn,489,,,MID,,,511032,
167888,Joe,Lumley,,466,,,GK,,574448,
168035,Fred,Onyedinma,329,,,MID,,,515999,
168090,Mahmoud,Dahoud,128,119,,MID,MID,,469701,
168281,Scott,McKenna,455,,,DEF,,,551805,
168636,Enes,Ünal,804,65,98,FWD,FWD,FWD,464486,5.5
168991,Philip,Billing,63,76,89,MID,MID,MID,532743,5.0
169187,Trent,Alexander-Arnold,290,311,,DEF,DEF,,760712,
169359,Matt,Targett,428,416,484,DEF,DEF,DEF,538112,4.0
169432,Oliver,McBurnie,485,,,FWD,,,509151,
169528,Antonee,Robinson,283,255,316,DEF,DEF,DEF,662428,5.0
169593,Remi,Matthews,233,209,255,GK,GK,GK,562726,4.0
171101,Clément,Lenglet,699,,,DEF,,,488412,
171287,Joe,Gomez,298,322,376,DEF,DEF,DEF,568571,5.0
171314,Rúben,Gato Alves Dias,350,361,408,DEF,DEF,DEF,614006,5.5
171771,Jan,Bednarek,,455,,,DEF,,490868,
172453,Sam,Szmodics,,611,,,MID,,491827,
172567,Josh,Cullen,165,,205,MID,,MID,623716,5.0
172649,Dean,Henderson,385,201,253,GK,GK,GK,719330,5.0
172780,James,Maddison,504,494,581,MID,MID,MID,493165,7.0
172782,Josh,Brownhill,161,,,MID,,,494597,
172841,Saïd,Benrahma,525,,,MID,,,491883,
172850,Ben,Chilwell,195,160,,DEF,DEF,,672469,
172912,Sofyan,Amrabat,709,,,MID,,,593116,
173268,Ivo,Grbic,790,,,GK,,,539546,
173807,Tom,Davies,666,,,MID,,,742405,
173818,Nathan,Broadhead,,262,,,MID,,760329,
173904,Davinson,Sánchez,512,,,DEF,,,643533,
173954,Jairo,Riedewald,239,,,MID,,,496563,
174292,Marco,Asensio,,762,,,MID,,498033,
174310,Elijah,Adebayo,314,,,FWD,,,873237,
174874,Joachim,Andersen,220,191,317,DEF,DEF,DEF,503659,4.5
176297,Marcus,Rashford,396,385,451,MID,MID,MID,696365,7.0
177815,Dominic,Calvert-Lewin,246,220,,FWD,FWD,,612150,
178186,Jarrod,Bowen,526,514,624,MID,MID,FWD,523825,8.0
178301,Ollie,Watkins,60,58,64,FWD,FWD,FWD,540088,9.0
179018,Miguel,Almirón Rejala,402,391,,MID,MID,,442277,
179268,Marc,Cucurella Saseta,198,163,224,DEF,DEF,DEF,873289,6.0
179458,Jacob,Bruun Larsen,608,,202,MID,,MID,655575,5.5
179519,Orel,Mangala,453,651,,MID,MID,,765693,
180135,Sean,Longstaff,421,410,493,MID,MID,MID,820024,5.0
180184,Donny,van de Beek,400,,,MID,,,612836,
180736,Trevoh,Chalobah,194,159,226,DEF,DEF,DEF,793907,5.0
180804,Axel,Tuanzebe,,282,198,,DEF,DEF,690149,4.0
180974,Joelinton Cássio,Apolinário de Lira,416,403,490,MID,MID,MID,535936,6.0
181284,Gonçalo Manuel,Ganchinho Guedes,554,548,647,MID,MID,MID,536455,5.5
183656,Josh,Dasilva,99,90,,MID,MID,,759566,
183751,Manuel Benson,Hedilazio,159,,201,MID,,MID,536457,5.5
184029,Martin,Ødegaard,14,13,17,MID,MID,MID,534670,8.0
184254,Guglielmo,Vicario,520,508,565,GK,GK,GK,538501,5.0
184341,Mason,Mount,209,382,455,MID,MID,MID,750032,6.0
184349,Ryan,Sessegnon,514,579,328,DEF,DEF,MID,773991,5.5
184386,James,Bree,,457,,,DEF,,539939,
184667,Victor,Lindelöf,386,376,,DEF,DEF,,258269,
184704,Marvelous,Nakamba,52,,,MID,,,541330,
184754,Hwang,Hee-chan,557,550,642,MID,MID,MID,620026,6.0
191866,Kristoffer,Ajer,90,86,108,DEF,DEF,DEF,552718,4.5
192290,Connor,Roberts,176,,186,DEF,,DEF,484878,4.5
192895,Kieran,Tierney,24,21,,DEF,DEF,,582499,
193204,Joe,Aribo,,452,,,MID,,798659,
194010,Rico,Henry,103,92,109,DEF,DEF,DEF,562892,4.5
194164,Mason,Holgate,255,225,,DEF,DEF,,603329,
194634,Diogo,Teixeira da Silva,294,317,,MID,MID,,570461,
195384,Mikel,Merino,,633,22,,MID,MID,574645,6.0
195473,Rhian,Brewster,477,,,FWD,,,841150,
195546,Emiliano,Buendía Stati,35,31,50,MID,MID,MID,610184,5.5
195851,Scott,McTominay,392,381,,MID,MID,,843099,
196100,Gustavo,Hamer,663,,,MID,,,775355,
196411,Conor,Chaplin,,265,,,MID,,605647,
197024,Guido,Rodríguez,,588,618,,MID,MID,586768,5.0
